id,x_um,y_um,r_um,diameter_um,x_mm,y_mm,r_mm,diameter_mm
1,26.289747021609518,34.479614623732026,3.5,7.0,0.02628974702160952,0.03447961462373202,0.0035,0.007
2,37.01789456762545,27.995852792778184,3.5,7.0,0.03701789456762545,0.027995852792778185,0.0035,0.007
3,15.16901639553334,3.5221696901470376,3.5,7.0,0.015169016395533341,0.0035221696901470375,0.0035,0.007
4,8.411320067780045,28.542420812676305,3.5,7.0,0.008411320067780045,0.028542420812676304,0.0035,0.007
5,18.778213918367328,47.3883518658395,3.5,7.0,0.01877821391836733,0.047388351865839506,0.0035,0.007
6,33.298328385497626,21.908940002559493,3.5,7.0,0.03329832838549763,0.021908940002559493,0.0035,0.007
7,33.4098986880261,34.2384122755531,3.5,7.0,0.033409898688026095,0.034238412275553104,0.0035,0.007
8,36.70570623756858,15.650656665342268,3.5,7.0,0.03670570623756858,0.01565065666534227,0.0035,0.007
9,43.64424464103146,2.994182477874976,3.5,7.0,0.04364424464103146,0.002994182477874976,0.0035,0.007
10,18.736307551796425,9.818275867310449,3.5,7.0,0.018736307551796425,0.009818275867310449,0.0035,0.007
11,29.79058981276169,28.12512515595626,3.5,7.0,0.02979058981276169,0.02812512515595626,0.0035,0.007
12,40.142113668458194,46.78621684419949,3.5,7.0,0.04014211366845819,0.04678621684419949,0.0035,0.007
13,1.285581725791426,28.409646335679795,3.5,7.0,0.001285581725791426,0.028409646335679797,0.0035,0.007
14,15.204851562448612,16.03183303730506,3.5,7.0,0.015204851562448612,0.01603183303730506,0.0035,0.007
15,40.090757256505405,9.366304699561478,3.5,7.0,0.040090757256505405,0.009366304699561479,0.0035,0.007
16,12.047653788587557,34.82958661764724,3.5,7.0,0.012047653788587557,0.034829586617647235,0.0035,0.007
17,15.5594819610163,28.525066638726514,3.5,7.0,0.0155594819610163,0.028525066638726514,0.0035,0.007
18,47.60862448394781,21.552119805521937,3.5,7.0,0.04760862448394781,0.021552119805521935,0.0035,0.007
19,22.69131721953702,28.319430979791008,3.5,7.0,0.02269131721953702,0.02831943097979101,0.0035,0.007
20,47.2807631811511,46.842230908980255,3.5,7.0,0.047280763181151104,0.04684223090898026,0.0035,0.007
21,11.591493745272357,9.694898937394939,3.5,7.0,0.011591493745272357,0.009694898937394938,0.0035,0.007
22,36.73730653467169,40.517580273424066,3.5,7.0,0.036737306534671686,0.040517580273424066,0.0035,0.007
